Processors,GALE,DE,GALE,DE
1,86.49044299,60.93075585,1,1
2,33.67319202,40.12899804,2.568525221,1.51837222
4,18.1550951,20.71012592,4.763976311,2.942075586
6,14.94180083,14.34294009,5.788488547,4.2481357
8,13.09485817,10.2217741,6.604916363,5.960878733
10,12.04369998,8.2092731,7.181384719,7.422186485
12,11.68835497,7.459748983,7.3997105,8.16793648
14,11.79777312,6.27083993,7.331082069,9.716522274
16,10.5578959,5.141762018,8.192015134,11.85017036
