Processors,GALE,DE
1,1,1
2,1.915341812,1.830188679
3,2.756864989,3.233333333
4,3.718364198,4.217391304
5,4.491146319,5.705882353
6,5.360400445,6.466666667
7,6.446822742,7.461538462
8,7.318147304,8.818181818
9,7.804048583,8.818181818
10,9.126893939,12.125
11,9.514313919,10.77777778
12,10.54485777,6.928571429
13,11.43297746,9.7
14,12.56584094,10.77777778
15,12.71503958,13.85714286
16,13.82783357,16.16666667

