Processors,GALE,DE,GALE,DE
1,68.31268787,4.049950123,1,1
2,18.16595411,1.431300163,3.76047894,2.829560302
4,4.926066875,0.6112809181,13.86759246,6.62535015
6,2.387300014,0.3114030361,28.61504103,13.00549337
8,1.592699051,0.2174799442,42.89114622,18.62217749
10,1.254791021,0.1771900654,54.44148604,22.85653044
12,0.9943420887,0.1415951252,68.70139427,28.60232736
14,0.9084191322,0.1231679916,75.19952569,32.88151466
16,0.8606441021,0.141854763,79.37391043,28.5499763
